trade_id,ticker,trade_date,quantity,price,settlement_date,trade_value
1,JPM,2025-08-16,3353.0,418.43,2025-08-18,1402995.79
2,WMT,2025-08-16,4523.0,277.85,2025-08-18,1256715.55
3,GOOGL,2025-08-14,4004.0,458.81,2025-08-16,1837075.24
4,WMT,2025-08-20,1445.0,454.83,2025-08-22,657229.35
6,GOOGL,2025-08-13,-3712.0,333.32,2025-08-15,-1237283.84
7,TSLA,2025-08-16,-3612.4,428.71,2025-08-18,-1407883.64
8,NVDA,2025-08-17,1735.0,415.43,2025-08-19,720771.05
9,AMZN,2025-08-14,-3289.0,303.25,2025-08-16,-997389.25
10,JPM,2025-08-14,-4286.0,165.71,2025-08-16,-710233.06
11,JNJ,2025-08-12,-541.0,411.32,2025-08-14,-222524.12
12,JNJ,2025-08-10,3672.0,467.47,2025-08-12,1716549.84
14,GOOGL,2025-08-13,2441.0,227.39,2025-08-15,555058.99
15,JPM,2025-08-19,489.0,299.52,2025-08-21,146465.28
16,JPM,2025-08-03,3805.0,317.23,2025-08-05,1207060.1500000001
17,MSFT,2025-08-01,-634.0,150.18,2025-08-03,-95214.12000000001
18,MSFT,2025-08-18,2466.0,460.54,2025-08-20,1135691.6400000001
19,JPM,2025-08-03,-3135.0,181.01,2025-08-05,-567466.35
20,NVDA,2025-08-02,-4144.0,498.06,2025-08-04,-2063960.64
21,V,2025-08-07,-2128.0,297.94,2025-08-09,-634016.32
22,NVDA,2025-08-15,-587.0,417.39,2025-08-17,-245007.93
23,AAPL,2025-08-05,-2717.0,305.78,2025-08-07,-830804.2599999999
24,NVDA,2025-08-12,3518.0,343.41,2025-08-14,1208116.3800000001
25,NVDA,2025-08-15,-4845.0,358.73,2025-08-17,-1738046.85
26,TSLA,2025-08-04,2555.0,467.73,2025-08-06,1195050.1500000001
27,AMZN,2025-08-03,2752.0,240.66,2025-08-05,662296.32
28,AAPL,2025-08-08,1648.0,157.58,2025-08-10,259691.84000000003
29,JNJ,2025-08-08,3525.0,411.95,2025-08-10,1452123.75
30,JNJ,2025-08-04,4053.0,488.94,2025-08-06,1981673.82
31,TSLA,2025-08-16,-1879.0,315.63,2025-08-18,-593068.77
32,AMZN,2025-08-01,-4304.0,430.49,2025-08-03,-1852828.96
33,JNJ,2025-08-07,-2241.0,153.73,2025-08-09,-344508.93
34,GOOGL,2025-08-18,1681.0,251.7,2025-08-20,423107.69999999995
35,V,2025-08-11,-105.0,414.62,2025-08-13,-43535.1
36,GOOGL,2025-08-07,-2287.0,157.65,2025-08-09,-360545.55
37,V,2025-08-03,-2311.0,186.38,2025-08-05,-430724.18
38,MSFT,2025-08-01,-2248.0,312.63,2025-08-03,-702792.24
39,AAPL,2025-08-16,151.0,313.4,2025-08-18,47323.399999999994
40,AMZN,2025-08-18,-1249.0,245.39,2025-08-20,-306492.11
41,TSLA,2025-08-16,-1499.0,451.38,2025-08-18,-676618.62
42,AAPL,2025-08-13,-2942.0,273.64,2025-08-15,-805048.88
43,V,2025-08-01,1828.0,406.41,2025-08-03,742917.4800000001
44,TSLA,2025-08-03,-2898.0,444.33,2025-08-05,-1287668.3399999999
45,AMZN,2025-08-16,3152.0,172.31,2025-08-18,543121.12
46,AAPL,2025-08-11,-1956.0,295.15,2025-08-13,-577313.3999999999
47,NVDA,2025-08-01,-3893.0,362.18,2025-08-03,-1409966.74
48,MSFT,2025-08-17,3041.0,219.56,2025-08-19,667681.96
49,AMZN,2025-08-14,4272.0,195.76,2025-08-16,836286.72
50,AAPL,2025-08-12,4528.0,427.99,2025-08-14,1937938.72
51,V,2025-08-03,2792.0,357.36,2025-08-05,997749.12
52,NVDA,2025-08-11,3983.0,481.18,2025-08-13,1916539.94
53,V,2025-08-15,-4367.0,313.28,2025-08-17,-1368093.7599999998
54,NVDA,2025-08-12,-1522.0,177.23,2025-08-14,-269744.06
55,NVDA,2025-08-04,-4788.0,301.16,2025-08-06,-1441954.08
56,AAPL,2025-08-04,4467.0,329.06,2025-08-06,1469911.02
57,NVDA,2025-08-07,-992.0,307.43,2025-08-09,-304970.56
59,AMZN,2025-08-06,-760.0,209.31,2025-08-08,-159075.6
60,MSFT,2025-08-12,-4315.0,282.22,2025-08-14,-1217779.3
61,GOOGL,2025-08-07,-3489.0,270.52,2025-08-09,-943844.2799999999
62,GOOGL,2025-08-12,4468.0,165.95,2025-08-14,741464.6
63,AMZN,2025-08-04,3446.0,389.32,2025-08-06,1341596.72
64,TSLA,2025-08-16,3223.0,316.03,2025-08-18,1018564.69
66,AAPL,2025-08-14,4053.0,490.49,2025-08-16,1987955.97
67,GOOGL,2025-08-09,4899.0,212.69,2025-08-11,1041968.3099999999
68,AMZN,2025-08-03,-1883.0,445.32,2025-08-05,-838537.5599999999
69,TSLA,2025-08-05,-2515.0,485.3,2025-08-07,-1220529.5
70,NVDA,2025-08-11,4996.0,409.41,2025-08-13,2045412.36
71,NVDA,2025-08-05,489.0,245.69,2025-08-07,120142.41
72,GOOGL,2025-08-13,4424.0,351.26,2025-08-15,1553974.24
73,JPM,2025-08-10,-3514.0,346.23,2025-08-12,-1216652.22
74,JPM,2025-08-20,-961.0,256.94,2025-08-22,-246919.34
75,JPM,2025-08-11,1112.0,419.67,2025-08-13,466673.04000000004
76,JPM,2025-08-02,3802.0,301.09,2025-08-04,1144744.18
77,MSFT,2025-08-12,2492.0,399.04,2025-08-14,994407.68
78,GOOGL,2025-08-05,2396.0,402.05,2025-08-07,963311.8
79,V,2025-08-08,-3118.0,385.81,2025-08-10,-1202955.58
80,AMZN,2025-08-15,5274.5,356.64,2025-08-17,1710088.8
81,TSLA,2025-08-07,4259.0,364.58,2025-08-09,1552746.22
82,WMT,2025-08-08,-258.0,448.7,2025-08-10,-115764.59999999999
83,NVDA,2025-08-13,1557.0,382.71,2025-08-15,595879.47
84,MSFT,2025-08-06,-3731.0,163.85,2025-08-08,-611324.35
85,V,2025-08-07,941.0,380.75,2025-08-09,358285.75
86,NVDA,2025-08-10,532.0,303.86,2025-08-12,161653.52000000002
87,V,2025-08-06,-3339.0,328.12,2025-08-08,-1095592.68
88,WMT,2025-08-04,-2857.0,336.38,2025-08-06,-961037.66
89,AAPL,2025-08-11,3778.0,425.41,2025-08-13,1607198.98
90,WMT,2025-08-15,-2972.0,418.47,2025-08-17,-1243692.84
91,JPM,2025-08-13,-3464.0,199.55,2025-08-15,-691241.2000000001
92,GOOGL,2025-08-01,-2549.0,374.23,2025-08-03,-953912.27
93,AMZN,2025-08-12,4978.6,429.29,2025-08-14,1942966.54
94,WMT,2025-08-08,4253.0,345.44,2025-08-10,1469156.32
96,WMT,2025-08-20,2563.0,150.32,2025-08-22,385270.16
97,GOOGL,2025-08-13,-3146.0,442.78,2025-08-15,-1392985.88
98,GOOGL,2025-08-07,1063.0,330.23,2025-08-09,351034.49
99,JPM,2025-08-15,897.0,204.74,2025-08-17,183651.78
100,V,2025-08-12,-4973.0,477.07,2025-08-14,-2372469.11
101,DIS,2025-08-06,1000.0,105.5,2025-08-08,105500.0
102,PFE,2025-08-07,-2500.0,45.2,2025-08-09,-113000.0
